age,menopause,tumor-size,inv-nodes,node-caps,deg-malig,breast,breast-quad,irradiat
-1.765178131740928e-05,6.17205665613829e-05,2.1025351955616503e-05,-0.07940333772039292,0.16304470194093737,0.0002442734716984396,-0.0001290434191283385,6.961914765357262e-06,-3.0501916405124563e-05
1.1767854211606225e-05,-7.8553448350851e-05,2.1025351955616503e-05,-0.07940333772039292,-0.038245053541701345,-0.00031727473910257096,-0.0001290434191283385,-6.63213985541926e-05,-3.0501916405124563e-05
1.1767854211606225e-05,-7.8553448350851e-05,-1.7910484999228874e-05,-0.07940333772039292,-0.038245053541701345,-3.6500633702065655e-05,0.0001290434191283385,-2.9679741894417673e-05,-3.0501916405124563e-05
-1.765178131740928e-05,6.17205665613829e-05,-1.7910484999228874e-05,-0.07940333772039292,0.16304470194093737,0.0002442734716984396,-0.0001290434191283385,-2.9679741894417673e-05,8.246814435459604e-05
-1.765178131740928e-05,6.17205665613829e-05,-8.176525760517524e-06,0.21198505758380132,0.16304470194093737,-3.6500633702065655e-05,0.0001290434191283385,8.02452280849071e-05,-3.0501916405124563e-05
1.1767854211606225e-05,6.17205665613829e-05,1.5574334781938162e-06,0.21198505758380132,-0.038245053541701345,-3.6500633702065655e-05,-0.0001290434191283385,6.961914765357262e-06,8.246814435459604e-05
1.1767854211606225e-05,-7.8553448350851e-05,-2.7644444237940218e-05,-0.07940333772039292,-0.038245053541701345,0.0002442734716984396,0.0001290434191283385,6.961914765357262e-06,-3.0501916405124563e-05
-1.765178131740928e-05,6.17205665613829e-05,3.075931119432785e-05,-0.07940333772039292,-0.038245053541701345,-3.6500633702065655e-05,0.0001290434191283385,6.961914765357262e-06,-3.0501916405124563e-05
-1.765178131740928e-05,6.17205665613829e-05,4.049327043303919e-05,-0.07940333772039292,-0.038245053541701345,-3.6500633702065655e-05,-0.0001290434191283385,4.3603571425132177e-05,-3.0501916405124563e-05
-1.765178131740928e-05,-7.8553448350851e-05,-2.7644444237940218e-05,0.0662908599317042,0.16304470194093737,-3.6500633702065655e-05,-0.0001290434191283385,6.961914765357262e-06,8.246814435459604e-05
